country,bank_account,location_type,cellphone_access,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,household_size_binned
Kenya,Yes,Rural,Yes,24,Female,Spouse,Married/Living together,Secondary education,Self employed,size 3 or below
Kenya,No,Rural,No,70,Female,Head of Household,Widowed,No formal education,Government Dependent,size btw 4 and 6
Kenya,Yes,Urban,Yes,26,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,34,Female,Head of Household,Married/Living together,Primary education,Formally employed Private,size btw 4 and 6
Kenya,No,Urban,No,26,Male,Child,Single/Never Married,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,No,26,Female,Spouse,Married/Living together,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,Yes,32,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 7 and 10
Kenya,No,Rural,Yes,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government,size 3 or below
Kenya,Yes,Rural,Yes,54,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,76,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,40,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Rural,Yes,69,Male,Head of Household,Married/Living together,Secondary education,Other Income,size 3 or below
Kenya,No,Rural,No,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,No,31,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 7 and 10
Kenya,No,Urban,Yes,26,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,38,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Urban,Yes,47,Female,Head of Household,Married/Living together,Secondary education,Self employed,size 3 or below
Kenya,Yes,Rural,Yes,27,Female,Head of Household,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,No,Urban,Yes,48,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private,size 3 or below
Kenya,No,Rural,No,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,32,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed,size 3 or below
Kenya,No,Urban,Yes,34,Female,Spouse,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,21,Female,Spouse,Married/Living together,Secondary education,Informally employed,size 3 or below
Kenya,No,Urban,No,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,Yes,22,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,No,26,Male,Child,Married/Living together,Primary education,Self employed,size btw 7 and 10
Kenya,No,Urban,Yes,31,Female,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,26,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,size btw 4 and 6
Kenya,No,Rural,No,58,Female,Head of Household,Widowed,No formal education,Remittance Dependent,size btw 7 and 10
Kenya,No,Urban,Yes,55,Male,Head of Household,Married/Living together,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,38,Male,Head of Household,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,62,Female,Spouse,Married/Living together,Primary education,Formally employed Government,size btw 4 and 6
Kenya,No,Rural,Yes,29,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,Yes,48,Female,Head of Household,Widowed,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,35,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,45,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,No,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,67,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,19,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Rural,Yes,80,Male,Head of Household,Widowed,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,No,31,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,50,Female,Head of Household,Single/Never Married,Primary education,Self employed,size 3 or below
Kenya,No,Rural,No,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,33,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,28,Female,Child,Married/Living together,Vocational/Specialised training,Self employed,size btw 4 and 6
Kenya,No,Urban,Yes,28,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,26,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed,size 3 or below
Kenya,No,Urban,Yes,51,Female,Head of Household,Single/Never Married,Secondary education,Self employed,size 3 or below
Kenya,No,Urban,No,16,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size 3 or below
Kenya,Yes,Urban,Yes,22,Female,Head of Household,Single/Never Married,Secondary education,Self employed,size 3 or below
Kenya,No,Rural,Yes,66,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size 3 or below
Kenya,Yes,Rural,Yes,50,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government,size btw 4 and 6
Kenya,No,Urban,Yes,33,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,21,Male,Child,Single/Never Married,No formal education,Informally employed,size above 10
Kenya,No,Rural,Yes,30,Female,Spouse,Married/Living together,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,size btw 7 and 10
Kenya,No,Rural,No,67,Female,Head of Household,Widowed,No formal education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,50,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,Yes,Urban,Yes,25,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,25,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,No,30,Female,Spouse,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,No,37,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,size 3 or below
Kenya,Yes,Urban,Yes,30,Female,Head of Household,Married/Living together,Primary education,Self employed,size 3 or below
Kenya,No,Urban,No,28,Female,Child,Single/Never Married,Primary education,Informally employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,30,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,59,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed,size 3 or below
Kenya,No,Urban,Yes,29,Male,Head of Household,Married/Living together,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,27,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,size 3 or below
Kenya,Yes,Rural,Yes,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,34,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,No,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Urban,No,21,Female,Spouse,Married/Living together,Vocational/Specialised training,Informally employed,size 3 or below
Kenya,No,Urban,Yes,37,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,No,40,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,No,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Urban,No,65,Female,Spouse,Married/Living together,No formal education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Urban,Yes,34,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed,size 3 or below
Kenya,No,Rural,Yes,46,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,54,Male,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,No,Urban,Yes,27,Female,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,21,Female,Child,Single/Never Married,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,64,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,56,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,No,40,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,21,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,Yes,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,Yes,Rural,Yes,42,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,No,22,Male,Child,Single/Never Married,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,52,Female,Spouse,Married/Living together,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Urban,Yes,35,Female,Spouse,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,64,Female,Head of Household,Widowed,Primary education,Remittance Dependent,size 3 or below
Kenya,Yes,Urban,Yes,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,23,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private,size btw 7 and 10
Kenya,No,Rural,Yes,42,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,size 3 or below
Kenya,No,Urban,Yes,27,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government,size 3 or below
Kenya,No,Rural,Yes,43,Male,Head of Household,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,Yes,Urban,No,16,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Urban,Yes,26,Male,Other relative,Single/Never Married,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,19,Female,Spouse,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,Yes,Rural,Yes,49,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government,size btw 4 and 6
Kenya,No,Urban,Yes,44,Female,Head of Household,Married/Living together,No formal education,Self employed,size btw 7 and 10
Kenya,No,Urban,Yes,30,Female,Head of Household,Single/Never Married,Primary education,Self employed,size 3 or below
Kenya,No,Rural,No,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent,size 3 or below
